clock,passenger_enter,passenger_leave,car_enter,car_leave,motorcycle_enter,motorcycle_leave,bicycle_enter,bicycle_leave,walker,car_parked,motorcycle_parked,bicycle_parked,car_cannot_park,motorcycle_cannot_park,bicycle_cannot_park,car_left_failed,motorcycle_left_failed,bicycle_left_failed,remain_car_parking_space,remain_motorcycle_parking_space,car_occupied_long_term,motorcycle_occupied_long_term,bicycle_occupied_long_term,CPU_time(in second)
23,0,19,0,6,0,4,0,5,4,8,151,127,0,0,0,6,0,0,14,124,8,34,40,
0,0,0,0,0,0,0,0,0,0,8,151,127,0,0,0,0,0,0,14,124,8,34,40,
1,0,0,0,0,0,0,0,0,0,8,151,127,0,0,0,0,0,0,14,124,8,34,40,
2,0,0,0,0,0,0,0,0,0,8,151,127,0,0,0,0,0,0,14,124,8,34,40,
3,0,0,0,0,0,0,0,0,0,8,151,127,0,0,0,0,0,0,14,124,8,34,40,
4,0,0,0,0,0,0,0,0,0,8,151,127,0,0,0,0,0,0,14,124,8,34,40,
5,2,0,0,0,1,0,0,0,1,8,152,127,0,0,0,0,0,0,14,123,8,34,40,
6,29,0,6,0,14,0,3,0,6,14,166,130,0,0,0,0,0,0,8,108,8,34,40,
7,22,0,4,0,13,0,3,0,2,18,179,133,0,0,0,0,0,0,4,93,8,34,40,
8,25,10,6,3,11,5,5,2,3,19,185,136,2,0,0,0,0,0,3,86,8,34,40,
9,24,10,5,2,10,6,2,1,8,20,189,137,2,0,0,0,0,0,2,81,8,34,40,
10,21,9,4,2,8,4,2,1,9,20,193,138,2,0,0,0,0,0,2,77,8,34,40,
11,6,6,1,1,2,3,1,1,3,20,192,138,0,0,0,0,0,0,2,78,8,34,40,
12,3,3,1,1,1,1,0,0,2,20,192,138,0,0,0,0,0,0,2,78,8,34,40,
13,13,13,3,3,5,5,1,1,8,19,192,138,1,0,0,0,0,0,3,78,8,34,40,
14,13,13,3,4,6,6,1,3,3,18,192,136,0,0,0,0,0,0,4,79,8,34,40,
15,12,12,2,2,5,5,1,1,8,18,192,136,0,0,0,0,0,0,4,79,8,34,40,
16,11,11,2,2,4,4,1,1,8,18,192,136,0,0,0,0,0,0,4,79,8,34,40,
17,26,26,5,5,10,14,5,3,10,17,188,138,1,0,0,0,0,0,5,82,8,34,40,
18,13,30,3,6,5,18,4,4,3,14,175,138,0,0,0,0,0,0,8,95,8,34,40,
19,6,15,1,4,3,8,2,3,0,11,170,137,0,0,0,0,0,0,11,100,8,34,40,
20,10,23,2,6,4,12,2,5,2,8,162,134,0,0,0,1,0,0,14,110,8,34,40,
21,3,7,1,2,1,4,0,1,1,8,159,133,0,0,0,1,0,0,14,113,8,34,40,
22,0,0,0,0,0,0,0,0,0,8,159,133,0,0,0,0,0,0,14,113,8,34,40,
23,0,15,0,4,0,3,0,4,4,8,156,129,0,0,0,4,0,0,14,118,8,34,40,
0,0,0,0,0,0,0,0,0,0,8,156,129,0,0,0,0,0,0,14,118,8,34,40,
1,0,0,0,0,0,0,0,0,0,8,156,129,0,0,0,0,0,0,14,118,8,34,40,
2,0,0,0,0,0,0,0,0,0,8,156,129,0,0,0,0,0,0,14,118,8,34,40,
3,0,0,0,0,0,0,0,0,0,8,156,129,0,0,0,0,0,0,14,118,8,34,40,
4,0,0,0,0,0,0,0,0,0,8,156,129,0,0,0,0,0,0,14,118,8,34,40,
5,9,3,2,1,4,1,1,0,3,9,159,130,0,0,0,0,0,0,13,115,8,34,40,
6,29,0,6,0,14,0,3,0,6,15,173,133,0,0,0,0,0,0,7,99,8,34,40,
7,22,0,4,0,13,0,3,0,2,19,186,136,0,0,0,0,0,0,3,85,8,34,40,
8,34,14,8,4,15,7,7,3,4,18,194,140,5,0,0,0,0,0,4,75,8,34,40,
9,25,10,5,2,10,6,2,1,9,20,198,141,1,0,0,0,0,0,2,70,8,34,40,
10,19,8,4,2,8,4,2,1,6,20,202,142,2,0,0,0,0,0,2,66,8,34,40,
11,10,10,2,2,4,5,1,1,5,20,201,142,0,0,0,0,0,0,2,67,8,34,40,
12,4,4,1,1,1,2,0,0,3,20,200,142,0,0,0,0,0,0,2,68,8,34,40,
13,9,9,2,2,4,4,1,1,4,20,200,142,0,0,0,0,0,0,2,68,8,34,40,
14,13,13,3,4,6,6,1,3,3,18,200,140,1,0,0,0,0,0,4,69,8,34,40,
15,9,9,2,2,4,4,1,1,4,18,200,140,0,0,0,0,0,0,4,69,8,34,40,
16,9,9,2,2,4,4,1,1,4,18,200,140,0,0,0,0,0,0,4,69,8,34,40,
17,18,18,4,4,7,10,4,2,5,18,197,142,0,0,0,0,0,0,4,71,8,34,40,
18,17,41,3,8,7,25,5,6,4,13,179,141,0,0,0,0,0,0,9,89,8,34,40,
