clock,passenger_enter,passenger_leave,car_enter,car_leave,motorcycle_enter,motorcycle_leave,bicycle_enter,bicycle_leave,walker,car_parked,motorcycle_parked,bicycle_parked,car_cannot_park,motorcycle_cannot_park,bicycle_cannot_park,car_left_failed,motorcycle_left_failed,bicycle_left_failed,CPU_time
12,6,6,1,1,2,2,1,1,4,17,5,119,0,0,0,0,0,0,
13,5,5,1,1,2,2,1,1,2,17,5,119,0,0,0,0,0,0,
14,19,19,4,4,6,6,4,4,10,17,5,119,0,0,0,0,0,0,
15,11,11,2,2,3,3,2,2,8,17,5,119,0,0,0,0,0,0,
16,11,11,2,2,3,3,2,2,8,17,5,119,0,0,0,0,0,0,
17,50,14,3,0,5,5,11,1,39,20,5,129,0,0,0,0,0,0,
18,7,74,1,6,2,19,1,6,46,15,0,124,0,0,0,0,12,0,
19,3,3,1,1,1,1,1,1,0,15,0,124,0,0,0,0,0,0,
20,22,22,4,4,7,7,4,4,14,15,0,124,0,0,0,0,0,0,
21,3,3,1,1,1,1,1,1,0,15,0,124,0,0,0,0,0,0,
22,0,0,0,0,0,0,0,0,0,15,0,124,0,0,0,0,0,0,
